,tenure,tenure_group
296,71,61-80
297,35,21-40
298,40,21-40
299,1,0-20
300,23,21-40
301,4,0-20
302,4,0-20
303,68,61-80
304,38,21-40
305,52,41-60
306,32,21-40
307,29,21-40
308,38,21-40
309,48,41-60
310,1,0-20
311,22,21-40
312,43,41-60
313,5,0-20
314,5,0-20
315,51,41-60
316,71,61-80
317,38,21-40
318,24,21-40
319,35,21-40
320,54,41-60
321,72,61-80
322,1,0-20
323,9,0-20
324,69,61-80
325,52,41-60
326,11,0-20
327,2,0-20
328,28,21-40
329,17,0-20
330,35,21-40
331,8,0-20
332,46,41-60
333,7,0-20
334,2,0-20
335,68,61-80
336,43,41-60
337,68,61-80
338,36,21-40
339,63,61-80
340,32,21-40
341,71,61-80
342,66,61-80
343,63,61-80
344,41,41-60
345,1,0-20
346,2,0-20
347,70,61-80
348,23,21-40
349,64,61-80
350,37,21-40
351,17,0-20
352,7,0-20
353,4,0-20
354,21,21-40
355,10,0-20
356,16,0-20
357,64,61-80
358,27,21-40
359,42,41-60
360,5,0-20
361,41,41-60
362,58,41-60
363,47,41-60
364,18,0-20
365,5,0-20
366,23,21-40
367,1,0-20
368,71,61-80
369,72,61-80
370,33,21-40
371,2,0-20
372,24,21-40
373,56,41-60
374,37,21-40
375,43,41-60
376,1,0-20
377,25,21-40
378,61,61-80
379,17,0-20
380,41,41-60
381,1,0-20
382,72,61-80
383,1,0-20
384,48,41-60
385,11,0-20
386,55,41-60
387,42,41-60
388,44,41-60
389,1,0-20
390,27,21-40
391,27,21-40
392,2,0-20
393,19,0-20
394,42,41-60
395,66,61-80
396,33,21-40
397,34,21-40
398,33,21-40
399,23,21-40
400,32,21-40
401,11,0-20
402,69,61-80
403,68,61-80
404,20,0-20
405,72,61-80
406,60,41-60
407,32,21-40
408,1,0-20
409,1,0-20
410,3,0-20
411,46,41-60
412,29,21-40
413,51,41-60
414,48,41-60
415,16,0-20
416,70,61-80
417,40,21-40
418,22,21-40
419,1,0-20
420,5,0-20
421,7,0-20
422,29,21-40
423,44,41-60
424,10,0-20
425,55,41-60
426,52,41-60
427,10,0-20
428,18,0-20
429,68,61-80
430,61,61-80
431,72,61-80
432,2,0-20
433,12,0-20
434,41,41-60
435,26,21-40
436,36,21-40
437,72,61-80
438,35,21-40
439,1,0-20
440,16,0-20
441,49,41-60
442,54,41-60
443,18,0-20
444,36,21-40
445,60,41-60
446,1,0-20
447,52,41-60
448,8,0-20
449,72,61-80
450,64,61-80
451,22,21-40
452,60,41-60
453,28,21-40
454,61,61-80
455,24,21-40
456,28,21-40
457,30,21-40
458,2,0-20
459,1,0-20
460,6,0-20
461,24,21-40
462,4,0-20
463,7,0-20
464,72,61-80
465,70,61-80
466,64,61-80
467,72,61-80
468,44,41-60
469,13,0-20
470,17,0-20
471,1,0-20
472,9,0-20
473,24,21-40
474,1,0-20
475,24,21-40
476,35,21-40
477,7,0-20
478,5,0-20
479,15,0-20
480,11,0-20
481,48,41-60
482,20,0-20
483,72,61-80
484,8,0-20
485,72,61-80
486,15,0-20
487,72,61-80
488,0,0-20
489,1,0-20
490,63,61-80
491,2,0-20
492,2,0-20
493,61,61-80
494,1,0-20
495,22,21-40
496,28,21-40
497,70,61-80
498,5,0-20
499,12,0-20
500,34,21-40
501,71,61-80
502,70,61-80
503,52,41-60
504,69,61-80
505,20,0-20
506,11,0-20
507,2,0-20
508,6,0-20
509,1,0-20
510,20,0-20
511,61,61-80
512,5,0-20
513,56,41-60
514,30,21-40
515,40,21-40
516,28,21-40
517,5,0-20
518,27,21-40
519,12,0-20
520,67,61-80
521,29,21-40
522,55,41-60
523,23,21-40
524,34,21-40
525,52,41-60
526,72,61-80
527,58,41-60
528,35,21-40
529,56,41-60
530,24,21-40
531,70,61-80
532,2,0-20
533,68,61-80
534,1,0-20
535,12,0-20
536,63,61-80
537,33,21-40
538,69,61-80
539,60,41-60
540,72,61-80
541,11,0-20
542,1,0-20
543,10,0-20
544,13,0-20
545,34,21-40
546,39,21-40
547,65,61-80
548,50,41-60
549,15,0-20
550,72,61-80
551,72,61-80
552,55,41-60
553,23,21-40
554,32,21-40
555,56,41-60
556,1,0-20
557,38,21-40
558,11,0-20
559,1,0-20
560,56,41-60
561,3,0-20
562,7,0-20
563,59,41-60
564,7,0-20
565,71,61-80
566,15,0-20
567,71,61-80
568,35,21-40
569,11,0-20
570,60,41-60
571,47,41-60
572,11,0-20
573,56,41-60
574,28,21-40
575,61,61-80
576,31,21-40
577,9,0-20
578,35,21-40
579,2,0-20
580,12,0-20
581,1,0-20
582,4,0-20
583,1,0-20
584,3,0-20
585,1,0-20
586,52,41-60
587,5,0-20
588,72,61-80
589,71,61-80
590,72,61-80
591,46,41-60
592,63,61-80
593,30,21-40
594,1,0-20
595,12,0-20
596,16,0-20
597,4,0-20
598,51,41-60
599,65,61-80
600,16,0-20
601,2,0-20
602,66,61-80
603,46,41-60
604,32,21-40
605,72,61-80
606,38,21-40
607,51,41-60
608,72,61-80
609,65,61-80
610,9,0-20
611,9,0-20
612,66,61-80
613,44,41-60
614,50,41-60
615,15,0-20
616,8,0-20
617,66,61-80
618,57,41-60
619,7,0-20
620,10,0-20
621,62,61-80
622,40,21-40
623,20,0-20
624,7,0-20
625,25,21-40
626,23,21-40
627,66,61-80
628,72,61-80
629,49,41-60
630,43,41-60
631,46,41-60
632,72,61-80
633,10,0-20
634,40,21-40
635,65,61-80
636,31,21-40
637,68,61-80
638,56,41-60
639,10,0-20
640,68,61-80
641,43,41-60
642,1,0-20
643,49,41-60
644,15,0-20
645,20,0-20
646,1,0-20
647,50,41-60
648,2,0-20
649,24,21-40
650,3,0-20
651,1,0-20
652,35,21-40
653,17,0-20
654,8,0-20
655,10,0-20
656,68,61-80
657,45,41-60
658,2,0-20
659,37,21-40
660,4,0-20
661,10,0-20
662,1,0-20
663,65,61-80
664,57,41-60
665,3,0-20
666,2,0-20
667,49,41-60
668,4,0-20
669,70,61-80
670,53,41-60
671,53,41-60
672,1,0-20
673,22,21-40
674,52,41-60
675,65,61-80
676,48,41-60
677,2,0-20
678,3,0-20
679,45,41-60
680,1,0-20
681,61,61-80
682,3,0-20
683,40,21-40
684,1,0-20
685,1,0-20
686,51,41-60
687,2,0-20
688,52,41-60
689,51,41-60
690,1,0-20
691,31,21-40
692,47,41-60
693,3,0-20
694,22,21-40
695,1,0-20
696,72,61-80
697,3,0-20
698,47,41-60
699,72,61-80
700,66,61-80
701,35,21-40
702,29,21-40
703,2,0-20
704,4,0-20
705,25,21-40
706,65,61-80
707,27,21-40
708,29,21-40
709,29,21-40
710,1,0-20
711,20,0-20
712,58,41-60
713,14,0-20
714,72,61-80
715,46,41-60
716,71,61-80
717,32,21-40
718,26,21-40
719,68,61-80
720,2,0-20
721,61,61-80
722,4,0-20
723,3,0-20
724,33,21-40
725,9,0-20
726,22,21-40
727,5,0-20
728,30,21-40
729,65,61-80
730,45,41-60
731,5,0-20
732,25,21-40
733,72,61-80
734,27,21-40
735,32,21-40
736,30,21-40
737,70,61-80
738,42,41-60
739,72,61-80
740,47,41-60
741,2,0-20
742,10,0-20
743,61,61-80
744,5,0-20
745,72,61-80
746,72,61-80
747,3,0-20
748,48,41-60
749,63,61-80
750,27,21-40
751,70,61-80
752,7,0-20
753,0,0-20
754,2,0-20
755,20,0-20
756,66,61-80
757,3,0-20
758,15,0-20
759,72,61-80
760,1,0-20
761,22,21-40
762,3,0-20
763,72,61-80
764,65,61-80
765,11,0-20
766,22,21-40
767,14,0-20
768,41,41-60
769,17,0-20
770,11,0-20
771,15,0-20
772,1,0-20
773,5,0-20
774,33,21-40
775,72,61-80
776,3,0-20
777,2,0-20
778,59,41-60
779,2,0-20
780,71,61-80
781,5,0-20
782,27,21-40
783,1,0-20
784,63,61-80
785,46,41-60
786,72,61-80
787,34,21-40
788,24,21-40
789,72,61-80
790,60,41-60
791,68,61-80
792,8,0-20
793,34,21-40
794,6,0-20
795,2,0-20
796,31,21-40
797,20,0-20
798,1,0-20
799,62,61-80
800,70,61-80
801,10,0-20
802,39,21-40
803,46,41-60
804,6,0-20
805,72,61-80
806,18,0-20
807,71,61-80
808,40,21-40
809,1,0-20
810,58,41-60
811,70,61-80
812,42,41-60
813,34,21-40
814,5,0-20
815,25,21-40
816,2,0-20
817,55,41-60
818,21,21-40
819,70,61-80
820,61,61-80
821,43,41-60
822,47,41-60
823,5,0-20
824,62,61-80
825,16,0-20
826,7,0-20
827,14,0-20
828,60,41-60
829,34,21-40
830,50,41-60
831,38,21-40
832,70,61-80
833,37,21-40
834,4,0-20
835,60,41-60
836,62,61-80
837,1,0-20
838,36,21-40
839,44,41-60
840,55,41-60
841,72,61-80
842,12,0-20
843,13,0-20
844,1,0-20
845,15,0-20
846,65,61-80
847,12,0-20
848,72,61-80
849,72,61-80
850,72,61-80
851,52,41-60
852,2,0-20
853,5,0-20
854,68,61-80
855,62,61-80
856,72,61-80
857,1,0-20
858,66,61-80
859,72,61-80
860,26,21-40
861,64,61-80
862,20,0-20
863,3,0-20
864,22,21-40
865,4,0-20
866,62,61-80
867,5,0-20
868,59,41-60
869,3,0-20
870,72,61-80
871,57,41-60
872,66,61-80
873,60,41-60
874,45,41-60
875,3,0-20
876,15,0-20
877,51,41-60
878,60,41-60
879,33,21-40
880,10,0-20
881,26,21-40
882,6,0-20
883,67,61-80
884,49,41-60
885,1,0-20
886,7,0-20
887,27,21-40
888,37,21-40
889,63,61-80
890,31,21-40
891,50,41-60
892,32,21-40
893,1,0-20
894,63,61-80
895,30,21-40
896,71,61-80
897,53,41-60
898,12,0-20
899,50,41-60
900,2,0-20
901,9,0-20
902,17,0-20
903,56,41-60
904,67,61-80
905,9,0-20
906,4,0-20
907,19,0-20
908,8,0-20
909,71,61-80
910,10,0-20
911,15,0-20
912,72,61-80
913,12,0-20
914,72,61-80
915,1,0-20
916,23,21-40
917,72,61-80
918,26,21-40
919,21,21-40
920,60,41-60
921,12,0-20
922,16,0-20
923,63,61-80
924,22,21-40
925,32,21-40
926,3,0-20
927,13,0-20
928,68,61-80
929,30,21-40
930,16,0-20
931,33,21-40
932,72,61-80
933,4,0-20
934,12,0-20
935,4,0-20
936,0,0-20
937,6,0-20
938,65,61-80
939,15,0-20
940,24,21-40
941,13,0-20
942,24,21-40
943,72,61-80
944,54,41-60
945,3,0-20
946,4,0-20
947,32,21-40
948,35,21-40
949,35,21-40
950,2,0-20
951,8,0-20
952,22,21-40
953,15,0-20
954,22,21-40
955,1,0-20
956,71,61-80
957,4,0-20
958,25,21-40
959,32,21-40
960,7,0-20
961,17,0-20
962,8,0-20
963,56,41-60
964,1,0-20
965,8,0-20
966,7,0-20
967,3,0-20
968,71,61-80
969,2,0-20
970,1,0-20
971,49,41-60
972,58,41-60
973,44,41-60
974,59,41-60
975,71,61-80
976,1,0-20
977,11,0-20
978,62,61-80
979,35,21-40
980,20,0-20
981,40,21-40
982,39,21-40
983,1,0-20
984,72,61-80
985,33,21-40
986,12,0-20
987,1,0-20
988,27,21-40
989,34,21-40
990,56,41-60
991,58,41-60
992,22,21-40
993,10,0-20
994,13,0-20
995,35,21-40
996,34,21-40
997,4,0-20
998,72,61-80
999,2,0-20
1000,7,0-20
1001,27,21-40
1002,4,0-20
1003,37,21-40
1004,21,21-40
1005,53,41-60
1006,18,0-20
1007,2,0-20
1008,32,21-40
1009,23,21-40
1010,3,0-20
1011,71,61-80
1012,9,0-20
1013,1,0-20
1014,18,0-20
1015,12,0-20
1016,71,61-80
1017,64,61-80
1018,4,0-20
1019,23,21-40
1020,39,21-40
1021,28,21-40
1022,5,0-20
1023,45,41-60
1024,37,21-40
1025,60,41-60
1026,8,0-20
1027,47,41-60
1028,26,21-40
1029,3,0-20
1030,50,41-60
1031,27,21-40
1032,8,0-20
1033,62,61-80
1034,71,61-80
1035,66,61-80
1036,68,61-80
1037,13,0-20
1038,56,41-60
1039,38,21-40
1040,14,0-20
1041,16,0-20
1042,14,0-20
1043,32,21-40
1044,8,0-20
1045,43,41-60
1046,52,41-60
1047,3,0-20
1048,29,21-40
1049,1,0-20
1050,12,0-20
1051,16,0-20
1052,40,21-40
1053,5,0-20
1054,40,21-40
1055,36,21-40
1056,5,0-20
1057,10,0-20
1058,2,0-20
1059,23,21-40
1060,26,21-40
1061,72,61-80
1062,34,21-40
1063,10,0-20
1064,14,0-20
1065,23,21-40
1066,47,41-60
1067,24,21-40
1068,49,41-60
1069,20,0-20
1070,2,0-20
1071,2,0-20
1072,22,21-40
1073,7,0-20
1074,1,0-20
1075,59,41-60
1076,58,41-60
1077,41,41-60
1078,59,41-60
1079,3,0-20
1080,32,21-40
1081,46,41-60
1082,0,0-20
1083,2,0-20
1084,52,41-60
1085,13,0-20
1086,11,0-20
1087,32,21-40
1088,17,0-20
1089,16,0-20
1090,51,41-60
1091,29,21-40
1092,70,61-80
1093,71,61-80
1094,41,41-60
1095,1,0-20
1096,7,0-20
1097,25,21-40
1098,67,61-80
1099,5,0-20
1100,15,0-20
1101,20,0-20
1102,3,0-20
1103,54,41-60
1104,42,41-60
1105,9,0-20
1106,63,61-80
1107,69,61-80
1108,69,61-80
1109,40,21-40
1110,60,41-60
1111,4,0-20
1112,71,61-80
1113,37,21-40
1114,32,21-40
1115,39,21-40
1116,38,21-40
1117,52,41-60
1118,48,41-60
1119,70,61-80
1120,20,0-20
1121,50,41-60
1122,19,0-20
1123,25,21-40
1124,12,0-20
1125,39,21-40
1126,7,0-20
1127,23,21-40
1128,27,21-40
1129,47,41-60
1130,26,21-40
1131,14,0-20
1132,11,0-20
1133,2,0-20
1134,26,21-40
1135,72,61-80
1136,63,61-80
1137,71,61-80
1138,11,0-20
1139,14,0-20
1140,13,0-20
1141,6,0-20
1142,11,0-20
1143,18,0-20
1144,1,0-20
1145,32,21-40
1146,29,21-40
1147,3,0-20
1148,2,0-20
1149,13,0-20
1150,41,41-60
1151,1,0-20
1152,7,0-20
1153,52,41-60
1154,45,41-60
1155,70,61-80
1156,53,41-60
1157,62,61-80
1158,60,41-60
1159,3,0-20
1160,23,21-40
1161,1,0-20
1162,67,61-80
1163,12,0-20
1164,71,61-80
1165,25,21-40
1166,5,0-20
1167,26,21-40
1168,1,0-20
1169,70,61-80
1170,72,61-80
1171,60,41-60
1172,32,21-40
1173,1,0-20
1174,14,0-20
1175,13,0-20
1176,6,0-20
1177,46,41-60
1178,15,0-20
1179,43,41-60
1180,39,21-40
1181,21,21-40
1182,57,41-60
1183,53,41-60
1184,18,0-20
1185,1,0-20
1186,58,41-60
1187,71,61-80
1188,35,21-40
1189,3,0-20
1190,38,21-40
1191,35,21-40
1192,7,0-20
1193,47,41-60
1194,14,0-20
1195,20,0-20
1196,66,61-80
1197,15,0-20
1198,42,41-60
1199,17,0-20
1200,37,21-40
1201,12,0-20
1202,53,41-60
1203,60,41-60
1204,18,0-20
1205,1,0-20
1206,3,0-20
1207,9,0-20
1208,1,0-20
1209,56,41-60
1210,17,0-20
1211,11,0-20
1212,7,0-20
1213,69,61-80
1214,19,0-20
1215,3,0-20
1216,54,41-60
1217,62,61-80
1218,24,21-40
1219,62,61-80
1220,17,0-20
1221,9,0-20
1222,64,61-80
1223,2,0-20
1224,1,0-20
1225,16,0-20
1226,72,61-80
1227,30,21-40
1228,49,41-60
1229,61,61-80
1230,47,41-60
1231,20,0-20
1232,34,21-40
1233,70,61-80
1234,54,41-60
1235,61,61-80
1236,3,0-20
1237,13,0-20
1238,16,0-20
1239,3,0-20
1240,25,21-40
1241,30,21-40
1242,21,21-40
1243,1,0-20
1244,15,0-20
1245,23,21-40
1246,45,41-60
1247,24,21-40
1248,11,0-20
1249,1,0-20
1250,56,41-60
1251,1,0-20
1252,1,0-20
1253,7,0-20
1254,55,41-60
1255,2,0-20
1256,72,61-80
1257,45,41-60
1258,47,41-60
1259,46,41-60
1260,2,0-20
1261,2,0-20
1262,12,0-20
1263,68,61-80
1264,69,61-80
1265,56,41-60
1266,4,0-20
1267,64,61-80
1268,59,41-60
1269,62,61-80
1270,63,61-80
1271,53,41-60
1272,5,0-20
1273,49,41-60
1274,62,61-80
1275,55,41-60
1276,71,61-80
1277,72,61-80
1278,36,21-40
1279,25,21-40
1280,72,61-80
1281,36,21-40
1282,1,0-20
1283,72,61-80
1284,59,41-60
1285,7,0-20
1286,1,0-20
1287,30,21-40
1288,64,61-80
1289,63,61-80
1290,72,61-80
1291,8,0-20
1292,62,61-80
1293,67,61-80
1294,6,0-20
1295,70,61-80
1296,20,0-20
1297,5,0-20
1298,24,21-40
1299,11,0-20
1300,72,61-80
1301,66,61-80
1302,45,41-60
1303,69,61-80
1304,15,0-20
1305,28,21-40
1306,70,61-80
1307,36,21-40
1308,16,0-20
1309,18,0-20
1310,34,21-40
1311,42,41-60
1312,48,41-60
1313,47,41-60
1314,39,21-40
1315,11,0-20
1316,7,0-20
1317,3,0-20
1318,8,0-20
1319,1,0-20
1320,32,21-40
1321,60,41-60
1322,10,0-20
1323,71,61-80
1324,4,0-20
1325,1,0-20
1326,43,41-60
1327,59,41-60
1328,23,21-40
1329,72,61-80
1330,22,21-40
1331,1,0-20
1332,69,61-80
1333,50,41-60
1334,1,0-20
1335,2,0-20
1336,15,0-20
1337,31,21-40
1338,1,0-20
1339,66,61-80
1340,0,0-20
1341,3,0-20
1342,8,0-20
1343,64,61-80
1344,28,21-40
1345,57,41-60
1346,14,0-20
1347,19,0-20
1348,10,0-20
1349,51,41-60
1350,67,61-80
1351,11,0-20
1352,72,61-80
1353,66,61-80
1354,18,0-20
1355,9,0-20
1356,9,0-20
1357,48,41-60
1358,10,0-20
1359,9,0-20
1360,13,0-20
1361,4,0-20
1362,4,0-20
1363,72,61-80
1364,51,41-60
1365,59,41-60
1366,10,0-20
1367,61,61-80
1368,54,41-60
1369,33,21-40
1370,27,21-40
1371,1,0-20
1372,23,21-40
1373,1,0-20
1374,45,41-60
1375,39,21-40
1376,5,0-20
1377,72,61-80
1378,58,41-60
1379,70,61-80
1380,61,61-80
1381,2,0-20
1382,46,41-60
1383,1,0-20
1384,22,21-40
1385,48,41-60
1386,64,61-80
1387,72,61-80
1388,12,0-20
1389,34,21-40
1390,72,61-80
1391,29,21-40
1392,33,21-40
1393,1,0-20
1394,62,61-80
1395,41,41-60
1396,64,61-80
1397,4,0-20
1398,24,21-40
1399,14,0-20
1400,3,0-20
1401,4,0-20
1402,18,0-20
1403,8,0-20
1404,35,21-40
1405,1,0-20
1406,66,61-80
1407,8,0-20
1408,71,61-80
1409,43,41-60
1410,2,0-20
1411,29,21-40
1412,15,0-20
1413,65,61-80
1414,35,21-40
1415,64,61-80
1416,58,41-60
1417,18,0-20
1418,67,61-80
1419,63,61-80
1420,60,41-60
1421,9,0-20
1422,70,61-80
1423,15,0-20
1424,48,41-60
1425,12,0-20
1426,71,61-80
1427,44,41-60
1428,1,0-20
1429,45,41-60
1430,23,21-40
1431,43,41-60
1432,35,21-40
1433,9,0-20
1434,12,0-20
1435,65,61-80
1436,2,0-20
1437,27,21-40
1438,40,21-40
1439,5,0-20
1440,8,0-20
1441,58,41-60
1442,52,41-60
1443,3,0-20
1444,41,41-60
1445,20,0-20
1446,1,0-20
1447,4,0-20
1448,23,21-40
1449,6,0-20
1450,8,0-20
1451,18,0-20
1452,52,41-60
1453,31,21-40
1454,29,21-40
1455,36,21-40
1456,16,0-20
1457,42,41-60
1458,1,0-20
1459,60,41-60
1460,5,0-20
1461,22,21-40
1462,36,21-40
1463,4,0-20
1464,9,0-20
1465,1,0-20
1466,12,0-20
1467,23,21-40
1468,62,61-80
1469,37,21-40
1470,8,0-20
1471,31,21-40
1472,13,0-20
1473,24,21-40
1474,45,41-60
1475,69,61-80
1476,2,0-20
1477,61,61-80
1478,41,41-60
1479,44,41-60
1480,39,21-40
1481,72,61-80
1482,13,0-20
1483,51,41-60
1484,71,61-80
1485,22,21-40
1486,2,0-20
1487,56,41-60
1488,1,0-20
1489,23,21-40
1490,66,61-80
1491,1,0-20
1492,19,0-20
1493,11,0-20
1494,8,0-20
1495,52,41-60
1496,3,0-20
1497,51,41-60
1498,15,0-20
1499,64,61-80
1500,37,21-40
1501,13,0-20
1502,49,41-60
1503,45,41-60
1504,18,0-20
1505,1,0-20
1506,68,61-80
1507,54,41-60
1508,23,21-40
1509,17,0-20
1510,71,61-80
1511,67,61-80
1512,14,0-20
1513,1,0-20
1514,63,61-80
1515,41,41-60
1516,17,0-20
1517,56,41-60
1518,5,0-20
1519,2,0-20
1520,3,0-20
1521,37,21-40
1522,29,21-40
1523,8,0-20
1524,63,61-80
1525,7,0-20
1526,3,0-20
1527,72,61-80
1528,19,0-20
1529,59,41-60
1530,2,0-20
1531,35,21-40
1532,14,0-20
1533,14,0-20
1534,69,61-80
1535,7,0-20
1536,69,61-80
1537,72,61-80
1538,8,0-20
1539,4,0-20
1540,63,61-80
1541,72,61-80
1542,46,41-60
1543,5,0-20
1544,30,21-40
1545,63,61-80
1546,60,41-60
1547,63,61-80
1548,25,21-40
1549,1,0-20
1550,6,0-20
1551,22,21-40
1552,31,21-40
1553,39,21-40
1554,26,21-40
1555,53,41-60
1556,1,0-20
1557,12,0-20
1558,16,0-20
1559,2,0-20
1560,39,21-40
1561,1,0-20
1562,7,0-20
1563,4,0-20
1564,10,0-20
1565,55,41-60
1566,72,61-80
1567,10,0-20
1568,11,0-20
1569,15,0-20
1570,23,21-40
1571,1,0-20
1572,3,0-20
1573,47,41-60
1574,15,0-20
1575,66,61-80
1576,68,61-80
1577,17,0-20
1578,7,0-20
1579,12,0-20
1580,21,21-40
1581,21,21-40
1582,56,41-60
1583,6,0-20
1584,65,61-80
1585,42,41-60
1586,68,61-80
1587,48,41-60
1588,50,41-60
1589,7,0-20
1590,63,61-80
1591,17,0-20
1592,42,41-60
1593,4,0-20
1594,62,61-80
1595,2,0-20
1596,2,0-20
1597,48,41-60
1598,27,21-40
1599,70,61-80
1600,1,0-20
1601,46,41-60
1602,30,21-40
1603,15,0-20
1604,69,61-80
1605,65,61-80
1606,72,61-80
1607,13,0-20
1608,17,0-20
1609,51,41-60
1610,51,41-60
1611,72,61-80
1612,67,61-80
1613,34,21-40
1614,67,61-80
1615,49,41-60
1616,53,41-60
1617,27,21-40
1618,23,21-40
1619,69,61-80
1620,2,0-20
1621,35,21-40
1622,46,41-60
1623,54,41-60
1624,56,41-60
1625,9,0-20
1626,20,0-20
1627,11,0-20
1628,30,21-40
1629,68,61-80
1630,38,21-40
1631,17,0-20
1632,48,41-60
1633,1,0-20
1634,63,61-80
1635,3,0-20
1636,48,41-60
1637,66,61-80
1638,68,61-80
1639,17,0-20
1640,7,0-20
1641,72,61-80
1642,29,21-40
1643,37,21-40
1644,34,21-40
1645,42,41-60
1646,59,41-60
1647,11,0-20
1648,60,41-60
1649,27,21-40
1650,1,0-20
1651,1,0-20
1652,17,0-20
1653,58,41-60
1654,1,0-20
1655,3,0-20
1656,53,41-60
1657,35,21-40
1658,50,41-60
1659,68,61-80
1660,47,41-60
1661,65,61-80
1662,5,0-20
1663,51,41-60
